Event_Id,Accident_Number,Event_Date,LOCATION,Country,Latitude,Longitude,Injury_Severity,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight
20100827X80349,ANC10CA078,8/27/10,"ALEKNAGIK, AK",United States,59.946389,-158.198055,Non-Fatal,Airplane,N35851,Cessna,U206F,No,1,Reciprocating,Other Work Use,Unknown,0,0,0,1,VMC,Unknown
20131108X10947,WPR14LA045,11/7/13,"MOKULEIA, HI",United States,21.572778,-158.197222,Non-Fatal,Airplane,N65070,Cessna Ector,305A,No,1,Reciprocating,Glider Tow,Unknown,0,0,1,Unknown,VMC,Landing
20080516X00689,LAX08LA060,2/14/08,"MOKULEIA, HI",United States,21.579445,-158.197222,Non-Fatal,Airplane,N473GF,Cessna,305-A,No,1,Reciprocating,Glider Tow,Unknown,0,0,0,1,VMC,Landing
20120202X30140,WPR12CA088,2/1/12,"MOKULEIA, HI",United States,21.574445,-158.191666,Non-Fatal,Airplane,N5026C,Cessna,172S,No,1,Reciprocating,Instructional,Unknown,0,0,0,3,VMC,Landing
20190622X23034,WPR19MA177,6/21/19,"MOKULEIA, HI",United States,21.580556,-158.188333,Fatal,Airplane,N256TA,Beech,65A90,No,Unknown,Turbo Prop,Skydiving,Unknown,11,0,0,Unknown,VMC,Takeoff
20180625X23337,ANC18LA047,6/22/18,"DILLINGHAM, AK",United States,59.920278,-158.185,Non-Fatal,Airplane,N5221G,Dehavilland,DHC-2,No,1,Reciprocating,Personal,Unknown,0,1,0,3,VMC,Landing
20180821X30217,WPR18TA236,8/20/18,"MOKULEIA, HI",United States,21.578056,-158.181667,Non-Fatal,Airplane,N98146,Piper,PA28,No,1,Reciprocating,Instructional,Unknown,0,0,3,Unknown,VMC,Takeoff
20090617X44958,ANC09LA058,6/16/09,"CROOKED CREEK, AK",United States,61.867223,-158.134166,Non-Fatal,Airplane,N1623U,Cessna,207,No,1,Reciprocating,Other Work Use,Unknown,0,0,1,2,VMC,Maneuvering
20130306X15132,ANC13CA028,3/5/13,"FLAT, AK",United States,62.543611,-158.097222,Non-Fatal,Airplane,N2550Z,Cessna,185B,No,1,Reciprocating,Personal,Unknown,0,0,0,2,VMC,Takeoff
20170729X21209,WPR17FA170,7/28/17,"WAIPI'O, HI",United States,21.427223,-158.084722,Fatal,Airplane,N6142N,Beech,19A,No,1,Reciprocating,Personal,Unknown,4,0,0,Unknown,VMC,Maneuvering
20161017X25411,GAA17CA025,10/5/16,"KAPOLEI, HI",United States,21.302778,-158.078611,Non-Fatal,Airplane,N429ES,Cessna,172,No,1,Reciprocating,Personal,Unknown,0,0,0,1,VMC,Landing
20200108X05551,ANC20CA012,1/7/20,"KAPOLEI, HI",United States,21.303889,-158.074167,Non-Fatal,Airplane,N779LB,Cirrus,SR22,No,Unknown,Unknown,Personal,Unknown,0,0,2,Unknown,Unknown,Unknown
20181002X60231,WPR18LA280,9/20/18,"KAPOLEI, HI",United States,21.307222,-158.070278,Non-Fatal,Airplane,N66201,Mooney,M20J,No,1,Unknown,Instructional,Unknown,0,0,0,2,VMC,Takeoff
20150630X71019,WPR15LA202,6/29/15,"KAPOLEI, HI",United States,21.307222,-158.070278,Non-Fatal,Airplane,N221LM,Short Bros,SD3 60,No,2,Turbo Prop,Other Work Use,Unknown,0,0,0,2,VMC,Landing
20050104X00013,LAX05CA047,12/8/04,"KAPOLEI, HI",United States,21.307222,-158.070278,Non-Fatal,Airplane,N140ND,Piper,PA-28-161,No,1,Reciprocating,Instructional,Unknown,0,0,0,1,VMC,Landing
20081219X04502,WPR09FA060,12/19/08,"KAPOLEI, HI",United States,21.315833,-158.055833,Non-Fatal,Airplane,N6182J,Piper,PA-28-140,No,1,Reciprocating,Instructional,Unknown,0,3,0,Unknown,VMC,Takeoff
20130828X00254,WPR13LA389,8/27/13,"WAHIAWA, HI",United States,24.784166,-158.05,Non-Fatal,Airplane,N413JJ,Champion,8KCAB,No,1,Reciprocating,Personal,Unknown,0,1,1,Unknown,VMC,Unknown
20130619X94050,ANC13CA056,6/19/13,"DILLINGHAM, AK",United States,59.071667,-158.039444,Non-Fatal,Airplane,N620Y,Cub Crafters Inc,CC11-100,No,1,Reciprocating,Personal,Unknown,0,0,0,2,VMC,Cruise
20100315X32858,ANC10CA023,3/13/10,"ANIAK, AK",United States,62.833333,-158,Non-Fatal,Airplane,N8820D,Piper,PA-22-160,No,1,Reciprocating,Personal,Unknown,0,0,2,Unknown,VMC,Maneuvering
20080501X00580,ANC08LA059,4/30/08,"PORT HEIDEN, AK",United States,56.95,-158,Non-Fatal,Airplane,N590AK,Cessna,560XL,No,2,Turbo Fan,Business,Unknown,0,0,0,6,VMC,Landing
20060531X00656,LAX06CA150,4/28/06,"HONOLULU, HI",United States,21.32,-157.926389,Non-Fatal,Airplane,N790SP,Cessna,172S,No,1,Reciprocating,Instructional,Unknown,0,0,0,1,VMC,Landing
20191104X32212,ANC20LA003B,10/31/19,"HONOLULU, HI",United States,21.313056,-157.925278,Non-Fatal,Airplane,N274MM,Cessna,172,No,1,Reciprocating,Personal,Unknown,0,0,0,3,VMC,Taxi
20191104X32212,ANC20LA003A,10/31/19,"HONOLULU, HI",United States,21.313056,-157.925278,Non-Fatal,Airplane,N926FE,Cessna,208,No,1,Turbo Prop,Unknown,Corporate Air,0,0,0,3,VMC,Taxi
20081003X17545,LAX08LA283,7/30/08,"HONOLULU, HI",United States,21.318611,-157.9225,Non-Fatal,Airplane,N5329L,Cessna,172,No,1,Reciprocating,Instructional,Unknown,0,0,0,2,VMC,Taxi
20080415X00485,LAX08CA084,3/22/08,"HONOLULU, HI",United States,21.318611,-157.9225,Non-Fatal,Airplane,N3105Q,Piper,PA32-301FT,No,1,Reciprocating,Personal,Unknown,0,0,0,4,VMC,Landing
20080107X00025,SEA08LA051,12/25/07,"HONOLULU, HI",United States,21.318611,-157.9225,Non-Fatal,Airplane,N819NW,Airbus Industrie,A330-323,No,2,Turbo Fan,Unknown,"Northwest Airlines, Inc.",0,1,3,291,VMC,Cruise
20120123X05407,WPR12CA082,1/26/12,"HONOLULU, HI",United States,21.318611,-157.922223,Non-Fatal,Airplane,N66540,Cessna,172P,No,1,Reciprocating,Instructional,Unknown,0,0,0,1,VMC,Unknown
20100405X33651,WPR10LA189,4/4/10,"HONOLULU, HI",United States,21.318611,-157.922223,Non-Fatal,Airplane,N61384,Piper,PA-31-350,No,2,Reciprocating,Unknown,Pacific Air Charters,0,0,0,1,VMC,Taxi
20091017X30334,WPR10CA019,10/17/09,"HONOLULU, HI",United States,21.318611,-157.922223,Non-Fatal,Airplane,N5329L,Cessna,172S,No,1,Reciprocating,Personal,Unknown,0,0,1,Unknown,VMC,Takeoff
20090123X91533,WPR09LA097,1/20/09,"HONOLULU, HI",United States,21.318611,-157.922223,Non-Fatal,Airplane,N30740,Cessna,177B,No,1,Reciprocating,Personal,Unknown,0,0,1,1,VMC,Climb
20040910X01390,LAX04CA290,8/13/04,"HONOLULU, HI",United States,21.318611,-157.922223,Non-Fatal,Airplane,N3554Y,Cessna,172S,No,1,Reciprocating,Instructional,Unknown,0,0,0,1,VMC,Landing
